VNET	NET	STA	SITE DESCRIPTION	LAT	LON	ELEV	START	END	STATUS	INSTALL	CERT
_US-TA	AK	I23K	Minto, Yukon-Koyukuk, AK, USA	65.15	-149.36	149.0	2019/09/24	2021/04/30	Ended	2014/10/02	2019/09/17
_US-TA	AK	I26K	Coal Creek Mining Camp, AK, USA	65.31	-143.15	338.0	2019/09/24	2021/04/30	Ended	2015/09/11	2019/09/17
_US-TA	AK	I27K	Kandik River, AK, USA	65.60	-141.62	874.0	2019/10/14	2021/04/30	Ended	2016/07/25	2019/09/27
_US-TA	AK	J17K	VABM Dome, AK, USA	63.40	-159.08	323.0	2019/10/14	2021/04/30	Ended	2017/06/17	2019/09/27
_US-TA	AK	J19K	Poorman, AK, USA	63.99	-155.62	389.0	2019/10/14	2021/04/30	Ended	2017/06/02	2019/09/27
_US-TA	AK	J20K	Nowitna River, AK, USA	64.18	-154.15	314.0	2019/10/14	2021/04/30	Ended	2015/06/30	2019/09/27
_US-TA	AK	J25K	Salcha River, AK, USA	64.61	-145.37	949.0	2019/10/14	2021/04/30	Ended	2015/08/23	2019/09/27
_US-TA	AK	J26L	Joseph Creek, AK, USA	64.50	-143.56	1144.0	2019/10/14	2021/04/30	Ended	2015/09/10	2019/09/27
_US-TA	AK	K13K	Kusilvak Mountain, AK, USA	61.93	-164.66	204.2	2020/09/23	2021/04/30	Ended	2017/05/30	2020/09/27
_US-TA	AK	K15K	Wolf Creek Mountain, AK, USA	62.29	-161.53	346.0	2020/09/23	2020/12/02	Ended	2017/05/28	2020/09/27
_US-TA	AK	K20K	Telida, AK, USA	63.36	-154.07	548.0	2019/10/22	2021/04/30	Ended	2015/06/29	2019/09/27
_US-TA	AK	K24K	Donnelly Dome, AK, USA	63.80	-145.78	724.0	2019/10/22	2021/04/30	Ended	2016/04/12	2019/10/16
_US-TA	AK	K27K	Chicken, AK, USA	64.03	-142.08	732.0	2019/12/19	2021/04/30	Ended	2014/06/19	2019/12/19
_US-TA	AK	KAI	Kayak Island, AK, USA	59.93	-144.42	316.0	2015/02/19	2021/04/30	Ended	2011/07/09	2015/02/19
_US-TA	AK	KLU	Klutina Pass, AK, USA	61.49	-145.92	1047.1	2015/02/19	2021/04/30	Ended	2009/07/12	2015/02/19
_US-TA	AK	KNK	Knik Glacier, AK, USA	61.41	-148.46	598.0	2015/02/19	2021/04/30	Ended	2011/05/29	2015/02/19
_US-TA	AK	L14K	Kuka Creek, AK, USA	61.34	-162.68	41.0	2020/09/23	2021/04/30	Ended	2017/05/26	2020/09/27
_US-TA	AK	L16K	Owhat River, AK, USA	61.71	-159.47	227.0	2020/11/04	2021/04/30	Ended	2017/05/13	2020/10/25
_US-TA	AK	L17K	Donlin, AK, USA	62.13	-158.30	338.0	2020/05/12	2021/04/30	Ended	2017/05/13	2020/05/11
_US-TA	AK	L18K	Granite Mountain, AK, USA	62.22	-156.69	329.0	2019/10/14	2021/04/30	Ended	2017/05/09	2019/09/27
